player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Wesley Williams,162704,ED,DUKE,12,7,1,66.7,0,1,154,0,0,71.3,70.1,58.8,70.6,64.9,52.6,8,23,0,0,8,20.5,9,1,2,77.1,2,9,1,0,0,24,583,583,2,3,557,21,0,0,315,244,0,27,28,6,3,40,0,14,4,7.0
George Wright,162705,S,DUKE,1,0,0,,0,0,154,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Colbie Young,162739,WR,GEORGIA,1,0,0,,0,0,173,0,0,60.0,60.0,64.7,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Kyle Louis,162770,LB,PITTSBURGH,12,22,1,75.0,0,1,268,0,0,82.5,83.1,85.0,69.7,84.2,77.5,7,17,1,4,21,12.4,13,1,0,53.0,33,7,0,407,0,315,767,115,0,1,114,0,0,652,121,331,244,53,70,11,44,31,0,278,249,8.4
Jimmy Scott,162774,ED,PITTSBURGH,12,5,2,100.0,0,1,268,0,0,60.4,72.6,37.9,69.9,74.3,73.4,7,24,0,0,12,8.0,2,0,3,116.7,1,6,0,1,0,0,513,512,0,0,494,18,0,1,287,226,0,20,18,3,1,37,0,12,17,12.0
Kemari Copeland,163180,DI,VA TECH,4,1,0,,0,0,337,0,0,,68.0,76.1,60.0,69.1,75.5,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,48,48,1,47,0,0,0,0,20,28,0,1,4,0,0,2,0,0,0,
Isaiah Hastings,163594,ED,SYRACUSE,12,4,0,,0,0,304,0,0,60.0,52.7,41.0,52.2,56.9,77.4,1,4,0,0,,14.3,1,0,1,0.0,0,0,0,0,0,1,191,191,9,78,64,40,0,0,98,92,0,2,2,0,0,5,0,0,0,
Savion Riley,163725,S,COLORADO,5,1,0,100.0,0,0,143,0,0,67.5,65.2,74.2,59.2,61.0,85.2,0,0,0,0,8,0.0,0,0,0,125.0,4,0,0,36,0,31,74,1,0,0,1,0,31,73,1,42,6,1,8,1,4,0,1,18,2,4.5
E.J. Lightsey,163746,LB,GA TECH,7,3,0,85.7,0,0,176,0,0,57.4,62.1,82.3,57.9,67.7,62.5,1,1,1,1,25,11.8,2,0,0,118.8,6,0,0,129,0,77,151,13,0,0,13,0,0,138,12,62,9,9,12,0,7,2,2,100,61,16.7
Christen Miller,163747,DI,GEORGIA,11,11,0,,0,0,173,0,0,,80.3,83.9,69.6,81.9,70.4,1,16,0,0,,6.9,2,0,0,0.0,0,1,0,0,0,0,357,356,94,169,5,88,0,1,185,172,0,14,16,2,0,18,0,0,0,
Keaten Wade,163794,ED,COLORADO,6,3,0,100.0,0,0,143,1,0,53.0,73.9,83.3,65.2,80.3,74.2,2,3,0,0,23,6.7,1,0,0,118.8,1,5,0,17,0,5,105,88,0,0,87,1,0,17,57,43,0,11,11,3,1,10,0,23,20,23.0
Jamal Anderson,170000,LB,CLEMSON,6,2,0,,0,0,140,0,0,71.3,75.6,79.3,76.3,69.8,62.9,0,0,0,0,,14.3,1,0,0,0.0,0,1,0,43,0,26,78,27,0,0,27,0,0,51,4,48,8,3,4,0,0,1,0,0,0,
Khalil Barnes,170001,S,CLEMSON,13,14,0,53.7,0,0,140,0,0,61.8,60.0,54.9,48.6,59.8,63.8,0,3,0,3,38,16.2,11,2,2,55.1,29,0,0,214,7,410,734,13,0,0,13,0,185,721,21,303,315,12,43,1,54,3,1,327,172,11.3
Rob Billings,170002,S,CLEMSON,3,2,0,66.7,0,0,140,0,0,30.7,48.0,72.5,59.9,70.3,80.7,0,0,0,0,66,0.0,0,0,0,149.3,2,0,0,20,0,8,30,0,0,0,0,0,9,30,1,21,1,1,2,0,3,0,1,66,35,33.0
Vic Burley,170004,DI,CLEMSON,8,4,0,,0,0,140,0,0,60.0,67.1,78.5,57.0,69.7,77.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,0,93,91,8,77,1,5,0,2,41,52,0,3,4,0,0,1,0,0,0,
Dee Crayton,170005,LB,CLEMSON,6,7,0,77.8,0,0,140,0,0,47.6,57.6,0.0,65.6,68.0,70.1,0,2,0,0,17,9.1,2,0,1,137.3,7,0,0,142,0,63,154,7,0,0,7,0,0,147,24,67,5,6,13,1,9,2,2,67,20,9.6
Stephiylan Green,170008,DI,CLEMSON,11,3,1,,0,0,140,0,0,61.8,73.2,83.1,68.1,71.6,80.2,0,12,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,285,285,33,228,2,22,0,0,179,106,0,9,11,1,0,13,0,0,0,
Ronan Hanafin,170009,CB,CLEMSON,9,1,0,71.4,0,0,140,0,0,57.3,54.8,80.6,61.8,46.3,62.2,1,0,0,0,24,14.3,1,0,0,94.3,5,0,0,14,1,46,88,6,0,0,6,0,9,82,7,35,58,1,5,0,7,1,0,55,28,11.0
Shelton Lewis,170015,CB,CLEMSON,9,3,0,61.1,1,0,140,0,0,52.7,53.1,0.0,47.4,66.7,59.9,0,1,0,0,17,18.8,3,2,3,97.2,11,0,0,25,13,110,191,2,0,0,2,0,4,189,10,71,147,4,10,0,18,1,1,111,59,10.1
T.J. Parker,170021,ED,CLEMSON,13,11,0,100.0,0,4,140,1,0,69.9,85.2,56.9,83.8,79.4,64.4,9,23,0,0,22,18.6,8,0,2,118.8,2,11,0,0,0,16,564,564,0,25,501,38,0,0,322,226,0,29,24,5,2,43,0,28,7,14.0
Branden Strozier,170028,CB,CLEMSON,6,0,0,55.6,0,0,140,0,0,34.9,33.5,77.4,,38.3,25.4,0,0,0,0,65,50.0,4,0,0,137.5,5,0,0,2,68,41,73,0,0,0,0,0,3,73,0,32,0,0,4,0,9,0,1,123,55,24.6
Patrick Swygert,170030,DI,CLEMSON,2,0,0,,0,0,140,0,0,,50.4,66.3,,56.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Avieon Terrell,170031,CB,CLEMSON,13,5,0,47.5,0,3,140,2,0,78.0,82.5,86.4,69.6,90.6,58.2,0,0,0,2,36,14.8,8,9,7,66.8,28,1,0,42,682,434,745,5,0,0,5,0,4,740,4,307,12,17,41,4,59,1,3,317,108,11.3
Kylen Webb,170033,S,CLEMSON,3,0,0,100.0,0,0,140,0,0,72.2,72.8,72.5,,67.8,78.7,0,0,0,0,9,0.0,0,0,0,104.2,1,0,0,13,0,8,25,0,0,0,0,0,9,25,0,17,3,3,3,0,1,0,0,9,6,9.0
Peter Woods,170034,ED,CLEMSON,10,10,0,,0,1,140,0,0,70.4,87.2,85.0,73.8,87.0,60.6,3,12,0,0,,17.6,6,0,0,0.0,0,3,0,0,0,4,335,335,26,142,122,45,0,0,182,149,0,19,18,5,0,18,0,0,0,
Desmond Aladuge,170036,DI,DUKE,7,2,0,,0,0,154,0,0,,49.3,15.8,53.2,53.1,27.1,0,1,0,0,,33.3,2,0,1,0.0,0,0,0,0,0,0,96,96,8,88,0,0,0,0,54,42,0,2,2,2,0,1,0,0,0,
David Anderson,170037,DI,DUKE,12,2,0,,0,0,154,0,0,60.0,57.3,79.6,62.9,52.8,38.9,1,3,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,133,133,3,123,0,7,0,0,64,69,0,2,3,0,0,4,0,0,0,
Que'Sean Brown,170041,WR,DUKE,1,0,0,,0,0,154,0,0,,62.3,60.0,,61.9,70.3,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
Leon Griffin III,170047,S,DUKE,2,1,0,0.0,0,0,154,0,0,47.7,54.4,74.6,59.0,69.3,51.1,0,0,0,0,,25.0,1,0,0,39.6,0,0,0,1,0,16,26,1,0,0,1,0,20,25,1,9,4,0,2,0,2,0,0,0,0,
Kendall Johnson,170050,LB,DUKE,6,1,0,100.0,0,0,154,0,0,71.7,65.4,76.0,53.9,58.1,69.8,0,1,0,0,0,12.5,1,0,0,79.2,1,0,0,54,0,26,61,1,0,0,1,0,0,60,6,29,6,5,6,0,1,1,0,0,1,0.0
Moussa Kane,170053,CB,DUKE,1,0,0,,0,0,154,0,0,60.0,60.8,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,
Luke Mergott,170056,LB,DUKE,7,0,0,100.0,0,0,154,0,0,58.6,45.9,75.2,54.3,41.7,80.4,0,1,0,0,7,0.0,0,0,0,83.3,3,0,0,44,0,14,49,1,0,0,1,0,0,48,8,27,4,2,5,0,3,1,0,12,7,4.0
Kevin O'Connor,170057,DI,DUKE,6,2,0,,0,0,154,0,0,70.3,71.6,79.4,67.7,63.0,42.2,3,4,0,0,,25.0,2,0,0,0.0,0,1,0,2,0,2,82,80,22,3,24,31,0,2,63,17,0,3,4,0,0,8,0,0,0,
Kimari Robinson,170058,CB,DUKE,10,4,0,63.6,0,1,154,0,0,66.3,65.6,83.0,54.3,60.8,59.7,1,2,0,0,23,13.6,3,2,1,103.2,14,0,0,13,285,190,310,3,0,0,3,0,1,307,6,114,7,6,15,4,22,3,1,174,42,12.4
Terry Simmons Jr.,170059,DI,DUKE,3,0,0,,0,0,154,0,0,,61.4,71.3,57.8,62.5,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,9,3,0,1,1,1,0,0,0,0,0,
DaShawn Stone,170060,S,DUKE,12,9,0,76.5,0,1,154,2,0,59.4,63.2,32.4,81.5,69.5,65.7,2,0,0,1,81,16.3,8,1,1,115.2,13,0,0,80,2,252,424,13,0,0,13,0,257,411,6,166,72,6,32,0,17,2,3,140,108,10.8
Shymeik Jones,170071,DI,GA TECH,1,0,0,,0,0,176,0,0,,71.7,72.1,66.9,67.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,
Kaleb Spencer,170093,S,VA TECH,11,7,0,81.8,0,1,337,0,0,71.4,74.5,82.8,87.3,66.5,69.6,1,4,0,1,25,11.5,3,1,0,84.8,9,1,0,59,0,77,182,30,0,0,30,0,0,152,14,91,93,8,16,2,11,6,1,68,44,7.6
Braylan Lovelace,170119,LB,PITTSBURGH,11,8,0,78.3,0,0,268,0,0,69.3,62.0,84.3,60.1,52.8,42.1,1,2,1,1,12,26.1,12,0,0,62.1,18,4,1,255,0,176,413,76,0,0,76,0,0,337,56,181,81,21,26,5,23,7,0,75,105,4.2
Isaiah Neal,170121,DI,PITTSBURGH,12,9,0,,0,0,268,0,0,65.8,49.0,31.8,55.5,46.5,52.8,6,6,0,0,,15.8,3,0,2,0.0,0,1,0,30,0,2,370,339,86,247,4,2,0,31,240,128,0,6,7,2,0,13,0,0,0,
Kamal Bonner,170366,LB,NC STATE,11,10,0,92.3,1,0,248,0,0,56.4,60.6,17.0,61.5,65.8,43.4,4,8,0,0,20,25.0,14,0,4,99.7,12,1,0,236,0,136,419,122,0,0,122,0,1,297,86,197,60,24,32,6,13,13,0,103,65,8.6
Zack Myers,170376,S,NC STATE,2,0,0,,0,0,248,0,0,42.5,45.2,70.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,5,10,0,0,0,0,0,5,10,0,5,1,0,0,0,0,0,0,0,0,
Isaiah Shirley,170380,ED,NC STATE,11,7,0,,0,1,248,0,0,60.0,65.7,79.9,60.4,66.8,32.9,1,3,0,0,,26.3,5,0,0,0.0,0,1,0,0,0,0,192,192,4,9,29,150,0,0,99,93,0,5,7,1,0,5,0,0,0,
David Omopariola,170386,ED,SYRACUSE,12,3,0,100.0,0,0,304,1,0,57.8,60.4,20.2,67.0,57.6,61.8,1,5,0,0,5,11.1,1,0,1,87.5,1,1,0,28,0,17,127,99,1,0,84,14,0,28,61,49,0,3,5,3,1,7,0,5,0,5.0
Matthew Lusardi,170395,ED,WAKE,1,0,0,,0,0,339,0,0,,50.3,73.5,60.0,52.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,6,0,0,6,0,0,1,1,6,1,0,0,0,0,0,0,0,0,
Isaiah Hardge,171894,WR,COLORADO,3,1,0,100.0,0,0,143,0,0,64.7,67.1,72.1,,65.4,78.0,0,0,0,0,9,0.0,0,0,0,104.2,1,0,0,3,0,5,16,0,0,0,0,0,0,16,0,11,13,0,1,0,1,0,0,9,6,9.0
Taje McCoy,171900,ED,COLORADO,12,2,0,,0,0,143,0,0,73.4,63.2,84.1,60.7,58.2,61.7,3,10,0,0,,18.2,2,0,0,0.0,0,2,0,5,0,3,161,156,0,0,156,0,0,5,115,43,0,5,7,0,0,15,0,0,0,
Carter Stoutmire,171907,S,COLORADO,12,6,0,55.0,1,1,143,0,0,81.1,75.7,40.6,67.8,61.6,66.7,1,1,0,0,13,13.3,6,6,1,65.0,11,0,0,90,10,285,500,5,0,0,5,0,211,495,3,212,184,12,33,0,20,2,0,82,31,7.5
RJ Johnson,172410,CB,COLORADO,3,1,0,,0,0,143,0,0,64.7,66.3,73.5,,65.8,74.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,23,7,27,0,0,0,0,0,3,27,0,20,0,0,0,0,0,0,0,0,0,
Colton Hood,172450,CB,COLORADO,12,0,0,51.6,0,0,143,0,0,69.3,68.6,15.2,,69.6,27.9,0,0,0,2,49,38.5,10,5,2,49.0,16,0,0,57,176,195,291,0,0,0,0,0,0,291,0,96,58,6,16,1,31,0,0,229,86,14.3
Brandon Enarusai,173266,ED,TEMPLE,3,0,0,,0,0,306,0,0,,61.4,71.4,,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,1,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,
Conlan Greene,173270,DI,TEMPLE,6,1,0,,0,0,306,0,0,,50.2,75.4,59.3,49.6,72.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,33,33,6,26,0,1,0,0,4,29,0,1,1,0,0,0,0,0,0,
David Kpeglo,173276,LB,TEMPLE,1,0,0,,0,0,306,0,0,,60.0,65.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Jordan Montgomery,173277,ED,TEMPLE,6,1,0,,0,0,306,0,0,60.0,61.7,77.7,56.6,62.8,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,29,29,0,0,27,2,0,0,7,21,0,0,1,0,0,0,0,0,0,
Ben Osueke,173278,CB,TEMPLE,10,4,0,58.8,0,1,306,0,0,64.9,67.2,28.3,54.5,79.0,58.8,0,1,0,0,63,17.2,5,2,3,111.5,20,0,0,55,354,203,421,2,0,0,2,0,0,419,1,217,10,4,20,0,34,1,2,333,113,16.7
Zyil Powell,173279,S,TEMPLE,4,0,0,0.0,0,0,306,0,0,62.6,56.8,78.5,,49.6,28.6,0,0,0,0,,44.4,4,0,0,39.6,0,0,0,27,1,21,64,1,0,0,1,0,30,63,0,43,5,1,5,0,2,0,0,0,0,
Tyrese Whitaker,173287,ED,TEMPLE,6,1,0,,0,0,306,0,0,70.5,61.2,81.2,54.6,60.7,77.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,95,95,0,0,86,9,0,0,41,52,0,4,4,0,0,1,0,0,0,
Joenel Aguero,173536,S,GEORGIA,9,6,0,64.7,0,0,173,0,0,60.0,60.7,16.2,62.5,64.4,59.6,1,1,0,0,42,16.1,5,0,1,90.3,11,0,0,58,6,150,287,33,0,0,33,0,4,254,15,122,186,13,20,2,17,2,0,140,57,12.7
Raylen Wilson,173541,LB,GEORGIA,12,8,0,66.7,0,1,173,1,0,63.0,66.3,83.0,57.8,69.2,73.7,0,7,0,0,23,9.1,4,1,0,103.5,8,1,0,303,3,144,362,31,0,0,31,0,0,331,63,155,25,23,32,4,12,8,1,52,48,6.5
Jordan Hall,173549,DI,GEORGIA,4,0,0,,0,0,173,0,0,,49.6,73.1,56.9,50.0,73.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,1,12,1,9,0,0,7,16,0,1,3,0,0,0,0,0,0,
Carter Davis,174003,S,BOSTON COL,11,7,0,72.2,0,2,121,0,0,80.1,69.8,42.4,58.4,45.7,59.8,0,0,0,3,44,19.0,11,2,1,71.5,13,1,0,165,2,345,580,1,0,0,1,0,368,579,5,230,44,9,40,1,18,1,0,211,60,16.2
Josiah Griffin,174004,ED,BOSTON COL,2,2,0,,0,0,121,0,0,,59.9,75.2,56.9,61.2,74.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,0,0,14,0,0,0,5,9,0,0,0,0,0,0,0,0,0,
KP Price,174005,S,BOSTON COL,12,17,0,53.1,0,0,121,0,0,79.0,76.3,85.5,65.2,72.5,78.2,1,2,0,1,26,10.3,8,4,0,91.4,17,1,0,378,10,466,780,15,0,0,15,0,248,765,9,305,129,18,53,0,32,4,4,142,92,8.4
Zachary Tobe,174034,CB,GA TECH,12,3,0,58.3,0,0,176,0,0,71.4,73.2,79.7,,75.6,85.2,0,0,0,0,37,0.0,0,3,1,119.8,7,0,0,8,132,86,142,0,0,0,0,0,1,142,0,56,1,4,10,0,12,0,1,119,72,17.0
Xzavier McLeod,174324,DI,GEORGIA,9,4,2,,0,1,173,0,0,60.0,75.2,79.2,60.2,80.3,67.6,0,1,0,0,,8.3,1,0,0,0.0,0,1,0,0,0,0,123,123,21,61,4,37,0,0,66,57,0,5,7,0,0,2,0,0,0,
Jason Abbey,174772,ED,VA TECH,6,1,0,,0,0,337,0,0,61.7,63.3,78.1,60.8,62.2,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,3,41,39,0,0,38,1,0,2,19,19,1,2,3,1,0,0,0,0,0,
George Ballance,174775,LB,VA TECH,2,0,0,66.7,0,0,337,0,0,42.5,34.3,71.2,,46.3,73.6,1,0,0,0,10,0.0,0,0,0,79.9,2,0,0,11,0,5,15,0,0,0,0,0,0,15,0,10,4,0,1,0,3,1,0,16,5,8.0
Cameren Fleming,174782,S,VA TECH,1,1,0,100.0,0,0,337,0,0,72.2,64.9,71.6,56.2,52.5,48.5,0,1,0,0,5,33.3,1,0,0,87.5,1,0,0,8,0,6,11,1,0,0,1,0,0,10,1,4,2,1,1,0,1,1,0,5,0,5.0
Josh Hand,174786,LB,VA TECH,1,0,0,,0,0,337,0,0,60.0,65.1,63.4,,61.9,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,
Braylon Johnson,174790,S,VA TECH,1,0,0,,0,0,337,0,0,62.5,64.5,70.0,,60.0,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,4,6,0,0,0,0,0,5,6,0,2,0,0,1,0,0,0,0,0,0,
Dante Lovett,174793,CB,VA TECH,12,2,0,41.2,0,0,337,0,0,60.9,58.8,0.0,,53.7,46.1,0,0,0,0,77,22.2,2,2,1,118.3,7,0,0,3,182,131,187,0,0,0,0,0,0,187,0,56,2,3,5,0,17,0,2,174,112,24.9
Aycen Stevens,174799,ED,VA TECH,8,1,1,,0,0,337,0,0,60.0,56.1,81.1,59.3,52.2,61.5,1,2,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,94,94,0,2,89,3,0,0,53,41,0,3,4,1,0,3,0,0,0,
Thomas Williams,174800,CB,VA TECH,7,0,0,33.3,0,0,337,0,0,70.7,66.3,76.4,,40.3,29.2,0,0,0,0,11,50.0,2,1,0,42.4,2,0,0,2,52,39,55,0,0,0,0,0,0,55,0,16,1,0,2,0,6,0,0,15,3,7.5
